"module name","license","repository"
"@babel/code-frame@7.29.0","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.29.0","MIT","https://github.com/babel/babel"
"@babel/core@7.29.0","MIT","https://github.com/babel/babel"
"@babel/generator@7.29.1","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.29.2","MIT","https://github.com/babel/babel"
"@babel/parser@7.29.2","MIT","https://github.com/babel/babel"
"@babel/template@7.28.6","MIT","https://github.com/babel/babel"
"@babel/traverse@7.29.0","MIT","https://github.com/babel/babel"
"@babel/types@7.29.0","MIT","https://github.com/babel/babel"
"@emnapi/core@1.10.0","MIT","https://github.com/toyobayashi/emnapi"
"@emnapi/runtime@1.10.0","MIT","https://github.com/toyobayashi/emnapi"
"@emnapi/wasi-threads@1.2.1","MIT","https://github.com/toyobayashi/emnapi"
"@eslint-community/eslint-utils@4.9.1","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.12.2","MIT","https://github.com/eslint-community/regexpp"
"@eslint/config-array@0.21.2","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-helpers@0.4.2","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/core@0.17.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.3.5","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.39.4","MIT","https://github.com/eslint/eslint"
"@eslint/object-schema@2.1.7","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.4.1","Apache-2.0","https://github.com/eslint/rewrite"
"@gsap/react@2.1.2","MIT*","https://github.com/greensock/react"
"@humanfs/core@0.19.2","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.8","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/types@0.15.0","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.4.3","Apache-2.0","https://github.com/humanwhocodes/retry"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@kurkle/color@0.3.4","MIT","https://github.com/kurkle/color"
"@napi-rs/wasm-runtime@1.1.4","MIT","https://github.com/napi-rs/napi-rs"
"@oxc-project/types@0.127.0","MIT","https://github.com/oxc-project/oxc"
